coastal_ecological_area,general_location,latitude,longitude,nst_site,reg_nm,region_name,source_file,specific_location,state_name,stratum,study_name
Alaskan West,Chukchi Sea,69.8383,-163.8096,AKC10-0001,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.4069,-165.418,AKC10-0002,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.1504,-164.84799999999996,AKC10-0003,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,68.9944,-167.3424,AKC10-0004,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.6116,-163.7207,AKC10-0005,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.0476,-165.4879,AKC10-0006,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.2099,-164.6215,AKC10-0007,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.0261,-166.5593,AKC10-0008,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.1847,-165.1596,AKC10-0009,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.6665,-164.2966,AKC10-0010,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.9608,-164.6258,AKC10-0011,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,68.5319,-167.1732,AKC10-0012,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.2699,-166.5625,AKC10-0013,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.5394,-165.0476,AKC10-0014,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.2034,-166.7186,AKC10-0015,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,68.6765,-167.8334,AKC10-0016,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.173,-165.7095,AKC10-0017,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.819,-164.882,AKC10-0018,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.4847,-166.5896,AKC10-0019,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.8273,-164.452,AKC10-0020,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.0753,-166.2866,AKC10-0021,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.3813,-166.8816,AKC10-0022,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.0104,-165.8246,AKC10-0023,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,68.845,-167.1144,AKC10-0024,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,68.8026,-166.6993,AKC10-0026,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.5292,-164.5388,AKC10-0027,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,68.6768,-166.5037,AKC10-0028,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.3541,-164.1076,AKC10-0029,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,68.4232,-166.8306,AKC10-0030,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,69.6188,-165.5128,AKC10-0105,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.6702,-160.3921,AKC11-0032,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.4173,-163.0812,AKC11-0034,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,71.2243,-157.9755,AKC11-0035,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.6951,-161.9843,AKC11-0036,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.6894,-161.12,AKC11-0037,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.156,-163.191,AKC11-0038,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,71.0293,-158.4353,AKC11-0039,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.6029,-162.094,AKC11-0040,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.2576,-163.7016,AKC11-0041,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.5122,-162.7102,AKC11-0042,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,71.1615,-160.1889,AKC11-0043,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,71.0663,-160.964,AKC11-0044,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.1031,-163.3923,AKC11-0045,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.4824,-161.2337,AKC11-0046,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,71.0043,-158.0766,AKC11-0047,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.6154,-160.7431,AKC11-0048,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.9992,-160.6128,AKC11-0049,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.1891,-163.752,AKC11-0050,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.2229,-162.5848,AKC11-0052,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.995,-158.7576,AKC11-0053,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.3853,-162.6455,AKC11-0054,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.6717,-161.9234,AKC11-0055,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
